symbol,Mean_Return,Volatility,Momentum,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,GMM_Cluster,GMM_Max_Prob,PCA1,PCA2
HOTUSDT,0.0016061837924492399,0.06112853229737063,-5.920654659805485e-07,4,4,0,0,0.98621135968967,-0.35965151877382195,-0.4281336833168707
ICXUSDT,0.0009250804935648216,0.05870487771376076,-0.003371719963153044,4,1,0,0,0.9488744434101227,-1.050511929738257,-0.8936151578698281
IOSTUSDT,0.0014216631249011616,0.06037344950638045,-5.969947826086953e-05,4,4,0,0,0.9793509944145893,-0.5541704240841993,-0.5529578338868191
IOTAUSDT,0.0008994598889820552,0.055148992698462594,-0.002146150809317015,4,1,0,0,0.9764698102866464,-1.3183669946741081,-0.9051770512684274
IOTXUSDT,0.0032505572656438882,0.07731303735844515,0.00015313679108095016,2,0,0,0,0.9999999869411066,2.0319467849260096,0.6725408563416393
JSTUSDT,0.0009454755105177128,0.05270606272087976,-0.00014130505952380964,4,1,0,0,0.9822367805283707,-1.454107832668141,-0.8682182106744544
KAVAUSDT,0.001364875800027429,0.0611535889448328,-0.004790532885261644,4,4,0,0,0.6658124263488021,-0.5408107947818387,-0.5989989686500402
KNCUSDT,0.0012533107481677015,0.06184528026139583,-0.007686895248380134,4,4,0,4,0.9892544028239948,-0.5768445649033401,-0.679731197106186
KSMUSDT,0.0013569475899859972,0.06537401474259354,-0.1726715686274511,4,1,0,4,1.0,-0.15444683627683262,-0.8383319607617555
LINKUSDT,0.0031781814807616358,0.058557135008539256,0.10426102748414377,0,0,0,2,0.999998068477494,0.6099494947090992,0.7874454074899175
LRCUSDT,0.002109702328231802,0.06899912074637264,-1.5646328293736636e-05,0,3,0,0,0.9990447032502199,0.5755165136360711,-0.09463650112271539
LSKUSDT,0.0009985085566166449,0.05641904672892695,-0.007702423783055412,4,1,0,4,0.9900075560350053,-1.150495037856755,-0.8468172549263584
LTCUSDT,0.0013555019879411586,0.04794484673801749,0.29590117120673737,3,4,0,3,0.9999998911007221,-1.6440600645768648,-0.1796896477277566
LUNAUSDT,0.0032505572656438882,0.0819010381877543,-0.0016349537299339516,2,0,0,0,0.9999999914942834,2.3522276943463507,0.664668459769661
MANAUSDT,0.0031755445750913467,0.07373736559274921,0.0016910007419773656,2,0,0,0,0.9999999380747938,1.724516688524843,0.6277978017857185
MBLUSDT,0.002103431576584401,0.07213466673534764,5.856839782756278e-06,0,3,0,0,0.9992550401386211,0.7888457110240464,-0.10259058547024447
MDTUSDT,0.0030958347956814083,0.07374114399596406,0.00012950044826967887,2,0,0,0,0.999999777179265,1.66435026663695,0.5713905256746568
MKRUSDT,0.0021226761896821315,0.05489128257102861,2.5618172197693503,1,2,1,1,1.0,-1.9039738226169831,3.424428323528836
